Verse ID,Meter,Sanskrit Text,Condition Name,File Name,File Size (KB),Measured Duration (s),Generation Status,Gemini Prompt Sent,VERIFICATION: Meter Rhythm (1-5),VERIFICATION: Voice Naturalness (1-5),VERIFICATION: Visarga Echo Pronounced (Y/N),VERIFICATION: Pauses Inside Compounds (Y/N),VERIFICATION: Listener Notes
"4","Anuṣṭubh","यदा यदा हि धर्मस्य ग्लानिर्भवति भारत। अभ्युत्थानमधर्मस्य तदात्मानं सृजाम्यहम्॥","formatA","verse_4_formatA.wav","633.79","13.52","success","Read this Sanskrit text in a traditional, monotone Anuṣṭubh chanting style. Maintain a steady tempo of 86 BPM. Hold all heavy (guru) syllables roughly twice as long as light (laghu) syllables.  Pronounce visargas with a gentle echo. Speak ONLY the Sanskrit text below:

यदा यदा हि धर्मस्य ग्लानिर्भवति भारत। अभ्युत्थानमधर्मस्य तदात्मानं सृजाम्यहम्॥",,,,,
"4","Anuṣṭubh","यदा यदा हि धर्मस्य ग्लानिर्भवति भारत। अभ्युत्थानमधर्मस्य तदात्मानं सृजाम्यहम्॥","formatB","verse_4_formatB.wav","778.17","16.60","success","Read this Sanskrit text following the inline syllable-level brackets. A bracket '[G:1]' indicates a Guru (heavy) syllable, while '[L:1]' indicates a Laghu (light) syllable. Do not read the brackets or symbols out loud. Read ONLY the Sanskrit syllables:

य[L:1]दा[G:1]य[L:1]दा[G:1]हि[L:1]ध[G:1]र्म[G:1]स्य[G:1]ग्ला[G:1]नि[G:1]र्भ[L:1]व[L:1]ति[L:1]भा[G:1]र[L:1]त[L:1]अ[G:1]भ्यु[G:1]त्था[G:1]न[L:1]म[L:1]ध[G:1]र्म[G:1]स्य[L:1]त[L:1]दा[G:1]त्मा[G:1]नं[G:1]सृ[L:1]जा[G:1]म्य[L:1]हम्[G:1]",,,,,
"4","Anuṣṭubh","यदा यदा हि धर्मस्य ग्लानिर्भवति भारत। अभ्युत्थानमधर्मस्य तदात्मानं सृजाम्यहम्॥","formatC","verse_4_formatC.wav","735.04","15.68","success","Read this Sanskrit text in a steady traditional monotone Anuṣṭubh chanting style. Strict Performance Directives:
- Tempo: 86 BPM
- Duration: Guru is 2x, Laghu is 1x
- Breaks: Under no circumstances pause or breathe inside compound bounds (marked by hyphens). Take clean breaths only at punctuation.

Recite ONLY this text:

यदा-यदा-हि-धर्मस्य-ग्लानिर्भवति-भारत।--अभ्युत्थानमधर्मस्य-तदात्मानं-सृजाम्यहम्॥-",,,,,
"5","Anuṣṭubh","नैमिषेऽनिमिषक्षेत्रे ऋषयः शौनकादयः। सत्रं स्वर्गाय लोकाय सहस्रसममासत॥","baseline","verse_5_baseline.wav","463.17","9.88","success","Read this Sanskrit text out loud:

नैमिषेऽनिमिषक्षेत्रे ऋषयः शौनकादयः। सत्रं स्वर्गाय लोकाय सहस्रसममासत॥",,,,,
"5","Anuṣṭubh","नैमिषेऽनिमिषक्षेत्रे ऋषयः शौनकादयः। सत्रं स्वर्गाय लोकाय सहस्रसममासत॥","formatA","verse_5_formatA.wav","720.04","15.36","success","Read this Sanskrit text in a traditional, monotone Anuṣṭubh chanting style. Maintain a steady tempo of 86 BPM. Hold all heavy (guru) syllables roughly twice as long as light (laghu) syllables.  Pronounce visargas with a gentle echo. Speak ONLY the Sanskrit text below:

नैमिषेऽनिमिषक्षेत्रे ऋषयः शौनकादयः। सत्रं स्वर्गाय लोकाय सहस्रसममासत॥",,,,,
"5","Anuṣṭubh","नैमिषेऽनिमिषक्षेत्रे ऋषयः शौनकादयः। सत्रं स्वर्गाय लोकाय सहस्रसममासत॥","formatB","verse_5_formatB.wav","738.79","15.76","success","Read this Sanskrit text following the inline syllable-level brackets. A bracket '[G:1]' indicates a Guru (heavy) syllable, while '[L:1]' indicates a Laghu (light) syllable. Do not read the brackets or symbols out loud. Read ONLY the Sanskrit syllables:

नै[G:1]मि[L:1]षे[G:1]नि[L:1]मि[L:1]ष[G:1]क्षे[G:1]त्रे[G:1]ऋ[L:1]ष[L:1]यः[G:1]शौ[G:1]न[L:1]का[G:1]द[L:1]यः[G:1]स[G:1]त्रं[G:1]स्व[G:1]र्गा[G:1]य[L:1]लो[G:1]का[G:1]य[L:1]स[L:1]ह[G:1]स्र[L:1]स[L:1]म[L:1]मा[G:1]स[L:1]त[L:1]",,,,,
"5","Anuṣṭubh","नैमिषेऽनिमिषक्षेत्रे ऋषयः शौनकादयः। सत्रं स्वर्गाय लोकाय सहस्रसममासत॥","formatC","verse_5_formatC.wav","611.29","13.04","success","Read this Sanskrit text in a steady traditional monotone Anuṣṭubh chanting style. Strict Performance Directives:
- Tempo: 86 BPM
- Duration: Guru is 2x, Laghu is 1x
- Breaks: Under no circumstances pause or breathe inside compound bounds (marked by hyphens). Take clean breaths only at punctuation.

Recite ONLY this text:

नैमिषेऽनिमिषक्षेत्रे-ऋषयः-शौनकादयः।--सत्रं-स्वर्गाय-लोकाय-सहस्रसममासत॥-",,,,,
"6","Vasantatilakā","नारायणाय परिपूर्णगुणार्णवाय विश्वोदयस्थितिलयोन्नियतिप्रदाय। ज्ञानप्रदाय विबुधासुरसौख्यदुःखसत्कारणाय वितताय नमोनमस्ते॥","baseline","verse_6_baseline.wav","748.17","15.96","success","Read this Sanskrit text out loud:

नारायणाय परिपूर्णगुणार्णवाय विश्वोदयस्थितिलयोन्नियतिप्रदाय। ज्ञानप्रदाय विबुधासुरसौख्यदुःखसत्कारणाय वितताय नमोनमस्ते॥",,,,,
"6","Vasantatilakā","नारायणाय परिपूर्णगुणार्णवाय विश्वोदयस्थितिलयोन्नियतिप्रदाय। ज्ञानप्रदाय विबुधासुरसौख्यदुःखसत्कारणाय वितताय नमोनमस्ते॥","formatA","verse_6_formatA.wav","1318.17","28.12","success","Read this Sanskrit text in a traditional, monotone Vasantatilakā chanting style. Maintain a steady tempo of 86 BPM. Hold all heavy (guru) syllables roughly twice as long as light (laghu) syllables. Observe natural pauses (yati) exactly at the following syllable indexes: [8]. Pronounce visargas with a gentle echo. Speak ONLY the Sanskrit text below:

नारायणाय परिपूर्णगुणार्णवाय विश्वोदयस्थितिलयोन्नियतिप्रदाय। ज्ञानप्रदाय विबुधासुरसौख्यदुःखसत्कारणाय वितताय नमोनमस्ते॥",,,,,
"6","Vasantatilakā","नारायणाय परिपूर्णगुणार्णवाय विश्वोदयस्थितिलयोन्नियतिप्रदाय। ज्ञानप्रदाय विबुधासुरसौख्यदुःखसत्कारणाय वितताय नमोनमस्ते॥","formatB","verse_6_formatB.wav","1743.79","37.20","success","Read this Sanskrit text following the inline syllable-level brackets. A bracket '[G:1]' indicates a Guru (heavy) syllable, while '[L:1]' indicates a Laghu (light) syllable. Do not read the brackets or symbols out loud. Read ONLY the Sanskrit syllables:

ना[G:1]रा[G:1]य[L:1]णा[G:1]य[L:1]प[L:1]रि[L:1]पू[G:1]र्ण[L:1]गु[L:1]णा[G:1]र्ण[L:1]वा[G:1]य[L:1]वि[G:1]श्वो[G:1]द[L:1]य[G:1]स्थि[L:1]ति[L:1]ल[L:1]यो[G:1]न्नि[L:1]य[L:1]ति[G:1]प्र[L:1]दा[G:1]य[G:1]ज्ञा[G:1]न[G:1]प्र[L:1]दा[G:1]य[L:1]वि[L:1]बु[L:1]धा[G:1]सु[L:1]र[L:1]सौ[G:1]ख्य[L:1]दुः[G:1]ख[L:1]स[G:1]त्का[G:1]र[L:1]णा[G:1]य[L:1]वि[L:1]त[L:1]ता[G:1]य[L:1]न[L:1]मो[G:1]न[L:1]म[G:1]स्ते[G:1]",,,,,
"6","Vasantatilakā","नारायणाय परिपूर्णगुणार्णवाय विश्वोदयस्थितिलयोन्नियतिप्रदाय। ज्ञानप्रदाय विबुधासुरसौख्यदुःखसत्कारणाय वितताय नमोनमस्ते॥","formatC","verse_6_formatC.wav","1070.67","22.84","success","Read this Sanskrit text in a steady traditional monotone Vasantatilakā chanting style. Strict Performance Directives:
- Tempo: 86 BPM
- Duration: Guru is 2x, Laghu is 1x
- Breaks: Under no circumstances pause or breathe inside compound bounds (marked by hyphens). Take clean breaths only at punctuation.

Recite ONLY this text:

नारायणाय-परिपूर्णगुणार्णवाय-विश्वोदयस्थितिलयोन्नियतिप्रदाय।--ज्ञानप्रदाय-विबुधासुरसौख्यदुःखसत्कारणाय-वितताय-नमोनमस्ते॥-",,,,,
"7","Vasantatilakā","अङ्गं हरेः पुलकभूषणमाश्रयन्ती भृङ्गाङ्गनेव मुकुलाभरणं तमालम्। अङ्गीकृताखिलविभूतिरपाङ्गलीला माङ्गल्यदास्तु मम मङ्गलदेवतायाः॥","baseline","verse_7_baseline.wav","802.54","17.12","success","Read this Sanskrit text out loud:

अङ्गं हरेः पुलकभूषणमाश्रयन्ती भृङ्गाङ्गनेव मुकुलाभरणं तमालम्। अङ्गीकृताखिलविभूतिरपाङ्गलीला माङ्गल्यदास्तु मम मङ्गलदेवतायाः॥",,,,,
"7","Vasantatilakā","अङ्गं हरेः पुलकभूषणमाश्रयन्ती भृङ्गाङ्गनेव मुकुलाभरणं तमालम्। अङ्गीकृताखिलविभूतिरपाङ्गलीला माङ्गल्यदास्तु मम मङ्गलदेवतायाः॥","formatA","verse_7_formatA.wav","1160.67","24.76","success","Read this Sanskrit text in a traditional, monotone Vasantatilakā chanting style. Maintain a steady tempo of 86 BPM. Hold all heavy (guru) syllables roughly twice as long as light (laghu) syllables. Observe natural pauses (yati) exactly at the following syllable indexes: [8]. Pronounce visargas with a gentle echo. Speak ONLY the Sanskrit text below:

अङ्गं हरेः पुलकभूषणमाश्रयन्ती भृङ्गाङ्गनेव मुकुलाभरणं तमालम्। अङ्गीकृताखिलविभूतिरपाङ्गलीला माङ्गल्यदास्तु मम मङ्गलदेवतायाः॥",,,,,
"7","Vasantatilakā","अङ्गं हरेः पुलकभूषणमाश्रयन्ती भृङ्गाङ्गनेव मुकुलाभरणं तमालम्। अङ्गीकृताखिलविभूतिरपाङ्गलीला माङ्गल्यदास्तु मम मङ्गलदेवतायाः॥","formatB","verse_7_formatB.wav","1586.29","33.84","success","Read this Sanskrit text following the inline syllable-level brackets. A bracket '[G:1]' indicates a Guru (heavy) syllable, while '[L:1]' indicates a Laghu (light) syllable. Do not read the brackets or symbols out loud. Read ONLY the Sanskrit syllables:

अ[G:1]ङ्गं[G:1]ह[L:1]रेः[G:1]पु[L:1]ल[L:1]क[L:1]भू[G:1]ष[L:1]ण[L:1]मा[G:1]श्र[L:1]य[G:1]न्ती[G:1]भृ[G:1]ङ्गा[G:1]ङ्ग[L:1]ने[G:1]व[L:1]मु[L:1]कु[L:1]ला[G:1]भ[L:1]र[L:1]णं[G:1]त[L:1]मा[G:1]लम्[G:1]अ[G:1]ङ्गी[G:1]कृ[L:1]ता[G:1]खि[L:1]ल[L:1]वि[L:1]भू[G:1]ति[L:1]र[L:1]पा[G:1]ङ्ग[L:1]ली[G:1]ला[G:1]मा[G:1]ङ्ग[G:1]ल्य[L:1]दा[G:1]स्तु[L:1]म[L:1]म[L:1]म[G:1]ङ्ग[L:1]ल[L:1]दे[G:1]व[L:1]ता[G:1]याः[G:1]",,,,,
"7","Vasantatilakā","अङ्गं हरेः पुलकभूषणमाश्रयन्ती भृङ्गाङ्गनेव मुकुलाभरणं तमालम्। अङ्गीकृताखिलविभूतिरपाङ्गलीला माङ्गल्यदास्तु मम मङ्गलदेवतायाः॥","formatC","verse_7_formatC.wav","1111.92","23.72","success","Read this Sanskrit text in a steady traditional monotone Vasantatilakā chanting style. Strict Performance Directives:
- Tempo: 86 BPM
- Duration: Guru is 2x, Laghu is 1x
- Breaks: Under no circumstances pause or breathe inside compound bounds (marked by hyphens). Take clean breaths only at punctuation.

Recite ONLY this text:

अङ्गं-हरेः-पुलकभूषणमाश्रयन्ती-भृङ्गाङ्गनेव-मुकुलाभरणं-तमालम्।--अङ्गीकृताखिलविभूतिरपाङ्गलीला-माङ्गल्यदास्तु-मम-मङ्गलदेवतायाः॥-",,,,,
"8","Vasantatilakā","मुग्धा मुहुर्विदधती वदने मुरारेः प्रेमत्रपाप्रणिहितानि गतागतानि। माला दृशोर्मधुकरीव महोत्पले या सा मे श्रियं दिशतु सागरसंभवायाः॥","baseline","verse_8_baseline.wav","776.29","16.56","success","Read this Sanskrit text out loud:

मुग्धा मुहुर्विदधती वदने मुरारेः प्रेमत्रपाप्रणिहितानि गतागतानि। माला दृशोर्मधुकरीव महोत्पले या सा मे श्रियं दिशतु सागरसंभवायाः॥",,,,,
"8","Vasantatilakā","मुग्धा मुहुर्विदधती वदने मुरारेः प्रेमत्रपाप्रणिहितानि गतागतानि। माला दृशोर्मधुकरीव महोत्पले या सा मे श्रियं दिशतु सागरसंभवायाः॥","formatA","verse_8_formatA.wav","1275.04","27.20","success","Read this Sanskrit text in a traditional, monotone Vasantatilakā chanting style. Maintain a steady tempo of 86 BPM. Hold all heavy (guru) syllables roughly twice as long as light (laghu) syllables. Observe natural pauses (yati) exactly at the following syllable indexes: [8]. Pronounce visargas with a gentle echo. Speak ONLY the Sanskrit text below:

मुग्धा मुहुर्विदधती वदने मुरारेः प्रेमत्रपाप्रणिहितानि गतागतानि। माला दृशोर्मधुकरीव महोत्पले या सा मे श्रियं दिशतु सागरसंभवायाः॥",,,,,
"8","Vasantatilakā","मुग्धा मुहुर्विदधती वदने मुरारेः प्रेमत्रपाप्रणिहितानि गतागतानि। माला दृशोर्मधुकरीव महोत्पले या सा मे श्रियं दिशतु सागरसंभवायाः॥","formatB","verse_8_formatB.wav","1093.17","23.32","success","Read this Sanskrit text following the inline syllable-level brackets. A bracket '[G:1]' indicates a Guru (heavy) syllable, while '[L:1]' indicates a Laghu (light) syllable. Do not read the brackets or symbols out loud. Read ONLY the Sanskrit syllables:

मु[G:1]ग्धा[G:1]मु[L:1]हु[G:1]र्वि[L:1]द[L:1]ध[L:1]ती[G:1]व[L:1]द[L:1]ने[G:1]मु[L:1]रा[G:1]रेः[G:1]प्रे[G:1]म[G:1]त्र[L:1]पा[G:1]प्र[L:1]णि[L:1]हि[L:1]ता[G:1]नि[L:1]ग[L:1]ता[G:1]ग[L:1]ता[G:1]नि[L:1]मा[G:1]ला[G:1]दृ[L:1]शो[G:1]र्म[L:1]धु[L:1]क[L:1]री[G:1]व[L:1]म[L:1]हो[G:1]त्प[L:1]ले[G:1]या[G:1]सा[G:1]मे[G:1]श्रि[L:1]यं[G:1]दि[L:1]श[L:1]तु[L:1]सा[G:1]ग[L:1]र[L:1]सं[G:1]भ[L:1]वा[G:1]याः[G:1]",,,,,
"8","Vasantatilakā","मुग्धा मुहुर्विदधती वदने मुरारेः प्रेमत्रपाप्रणिहितानि गतागतानि। माला दृशोर्मधुकरीव महोत्पले या सा मे श्रियं दिशतु सागरसंभवायाः॥","formatC","verse_8_formatC.wav","1001.29","21.36","success","Read this Sanskrit text in a steady traditional monotone Vasantatilakā chanting style. Strict Performance Directives:
- Tempo: 86 BPM
- Duration: Guru is 2x, Laghu is 1x
- Breaks: Under no circumstances pause or breathe inside compound bounds (marked by hyphens). Take clean breaths only at punctuation.

Recite ONLY this text:

मुग्धा-मुहुर्विदधती-वदने-मुरारेः-प्रेमत्रपाप्रणिहितानि-गतागतानि।--माला-दृशोर्मधुकरीव-महोत्पले-या-सा-मे-श्रियं-दिशतु-सागरसंभवायाः॥-",,,,,
"9","Vasantatilakā","आहुश्च ते नलिननाभ पदारविन्दं योगेश्वरैर्हृदि विचिन्त्यमगाधबोधैः। संसारकूपपतितोत्तरणावलम्बं गेहजुषामपि मनस्युदियात्सदा नः॥","baseline","verse_9_baseline.wav","903.79","19.28","success","Read this Sanskrit text out loud:

आहुश्च ते नलिननाभ पदारविन्दं योगेश्वरैर्हृदि विचिन्त्यमगाधबोधैः। संसारकूपपतितोत्तरणावलम्बं गेहजुषामपि मनस्युदियात्सदा नः॥",,,,,
"9","Vasantatilakā","आहुश्च ते नलिननाभ पदारविन्दं योगेश्वरैर्हृदि विचिन्त्यमगाधबोधैः। संसारकूपपतितोत्तरणावलम्बं गेहजुषामपि मनस्युदियात्सदा नः॥","formatA","verse_9_formatA.wav","1192.54","25.44","success","Read this Sanskrit text in a traditional, monotone Vasantatilakā chanting style. Maintain a steady tempo of 86 BPM. Hold all heavy (guru) syllables roughly twice as long as light (laghu) syllables. Observe natural pauses (yati) exactly at the following syllable indexes: [8]. Pronounce visargas with a gentle echo. Speak ONLY the Sanskrit text below:

आहुश्च ते नलिननाभ पदारविन्दं योगेश्वरैर्हृदि विचिन्त्यमगाधबोधैः। संसारकूपपतितोत्तरणावलम्बं गेहजुषामपि मनस्युदियात्सदा नः॥",,,,,
"9","Vasantatilakā","आहुश्च ते नलिननाभ पदारविन्दं योगेश्वरैर्हृदि विचिन्त्यमगाधबोधैः। संसारकूपपतितोत्तरणावलम्बं गेहजुषामपि मनस्युदियात्सदा नः॥","formatB","verse_9_formatB.wav","1623.79","34.64","success","Read this Sanskrit text following the inline syllable-level brackets. A bracket '[G:1]' indicates a Guru (heavy) syllable, while '[L:1]' indicates a Laghu (light) syllable. Do not read the brackets or symbols out loud. Read ONLY the Sanskrit syllables:

आ[G:1]हु[G:1]श्च[L:1]ते[G:1]न[L:1]लि[L:1]न[L:1]ना[G:1]भ[L:1]प[L:1]दा[G:1]र[L:1]वि[G:1]न्दं[G:1]यो[G:1]गे[G:1]श्व[L:1]रै[G:1]र्हृ[L:1]दि[L:1]वि[L:1]चि[G:1]न्त्य[L:1]म[L:1]गा[G:1]ध[L:1]बो[G:1]धैः[G:1]सं[G:1]सा[G:1]र[L:1]कू[G:1]प[L:1]प[L:1]ति[L:1]तो[G:1]त्त[L:1]र[L:1]णा[G:1]व[L:1]ल[G:1]म्बं[G:1]गे[G:1]ह[L:1]जु[L:1]षा[G:1]म[L:1]पि[L:1]म[L:1]न[G:1]स्यु[L:1]दि[L:1]या[G:1]त्स[L:1]दा[G:1]नः[G:1]",,,,,
"9","Vasantatilakā","आहुश्च ते नलिननाभ पदारविन्दं योगेश्वरैर्हृदि विचिन्त्यमगाधबोधैः। संसारकूपपतितोत्तरणावलम्बं गेहजुषामपि मनस्युदियात्सदा नः॥","formatC","verse_9_formatC.wav","1241.29","26.48","success","Read this Sanskrit text in a steady traditional monotone Vasantatilakā chanting style. Strict Performance Directives:
- Tempo: 86 BPM
- Duration: Guru is 2x, Laghu is 1x
- Breaks: Under no circumstances pause or breathe inside compound bounds (marked by hyphens). Take clean breaths only at punctuation.

Recite ONLY this text:

आहुश्च-ते-नलिननाभ-पदारविन्दं-योगेश्वरैर्हृदि-विचिन्त्यमगाधबोधैः।--संसारकूपपतितोत्तरणावलम्बं-गेहजुषामपि-मनस्युदियात्सदा-नः॥-",,,,,
